campaign_date,campaign_id,campaign_name,channel,campaign_type,segment,region,impressions,clicks,leads,customers,spend,revenue
2025-01-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,493980,10423,806,134,36109.48,144392.43
2025-02-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,477967,10637,785,131,34518.15,144640.64
2025-03-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,579688,14014,918,172,45491.74,191467.71
2025-04-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,504320,11426,730,131,39607.12,127619.66
2025-05-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,542184,12601,821,109,41918.14,114429.41
2025-06-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,452319,9449,622,106,39863.83,120839.2
2025-07-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,551138,11469,864,156,40846.05,181133.42
2025-08-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,524853,12367,865,160,45693.88,157918.5
2025-09-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,504043,13314,1010,136,41981.78,147828.22
2025-10-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,615403,14948,976,186,46229.64,204270.8
2025-11-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,583705,15762,942,173,44739.31,194274.17
2025-12-01,CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,692757,19596,1429,253,49664.0,252384.9
2025-01-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,191126,4506,336,50,23733.8,55796.86
2025-02-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,201696,4079,278,47,26478.95,55312.86
2025-03-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,240650,5959,422,62,25920.88,69356.26
2025-04-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,272172,6450,512,85,30016.68,86103.84
2025-05-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,268656,6851,442,63,33405.92,64421.2
2025-06-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,210439,5280,423,72,25996.46,79148.61
2025-07-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,210973,5509,378,51,25487.63,54566.0
2025-08-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,191945,5142,405,65,24962.05,71181.42
2025-09-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,231911,6334,482,67,26304.7,69727.98
2025-10-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,302337,7617,581,107,31874.08,118211.42
2025-11-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,242392,6543,394,62,29518.41,69501.97
2025-12-01,CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,310710,7888,577,97,40192.13,104316.4
2025-01-01,CMP003,PaidSearch_LeadGen_03,Paid Search,Lead Gen,Mid-Market,East,604879,12710,755,127,41955.78,126661.45
2025-02-01,CMP003,PaidSearch_LeadGen_03,Paid Search,Lead Gen,Mid-Market,East,478214,10026,607,81,37067.21,76687.88
2025-03-01,CMP003,PaidSearch_LeadGen_03,Paid Search,Lead Gen,Mid-Market,East,665672,16504,1201,215,46533.09,226813.62
2025-04-01,CMP003,PaidSearch_LeadGen_03,Paid Search,Lead Gen,Mid-Market,East,712391,17583,1220,168,49351.08,169874.98
2025-05-01,CMP003,PaidSearch_LeadGen_03,Paid Search,Lead Gen,Mid-Market,East,623450,17574,1059,185,45046.71,186600.48
