campaign_id,campaign_name,channel,campaign_type,segment,region,impressions,clicks,leads,customers,spend,revenue,ctr,click_to_lead_rate,lead_to_customer_rate,cac,roas,roi
CMP001,PaidSearch_LeadGen_01,Paid Search,Lead Gen,B2B,North,6522357.0,156006.0,10768.0,1847.0,506663.12000000005,1981199.0599999998,0.02391865394672509,0.0690229862953989,0.17152674591381872,274.3167948023823,3.9102886746523007,2.9102886746523007
CMP002,PaidSearch_Retargeting_02,Paid Search,Retargeting,Consumer,East,2875007.0,72158.0,5230.0,828.0,343891.69,897644.82,0.02509837367352497,0.07247983591562959,0.1583173996175908,415.3281280193237,2.610254467038735,1.610254467038735
CMP003,PaidSearch_LeadGen_03,Paid Search,Lead Gen,Mid-Market,East,7889312.0,198598.0,13787.0,2189.0,555698.32,2144015.78,0.025173044240106107,0.06942164573661366,0.15877275694494813,253.85944266788485,3.858236929706752,2.858236929706752
CMP004,PaidSearch_Retargeting_04,Paid Search,Retargeting,SMB,North,8114632.0,197284.0,13684.0,2244.0,598663.83,2450824.5,0.024312131468192274,0.06936193507836419,0.1639871382636656,266.7842379679144,4.093824241895489,3.093824241895489
CMP005,PaidSearch_Retargeting_05,Paid Search,Retargeting,SMB,East,2951459.0,71241.0,4965.0,817.0,349556.57999999996,897875.7400000001,0.024137553664136956,0.0696930138543816,0.16455186304128902,427.8538310893512,2.5686134702427865,1.5686134702427865
CMP006,PaidSocial_Retargeting_01,Paid Social,Retargeting,B2B,West,6551404.0,106237.0,6108.0,827.0,434002.57,773247.6299999999,0.016215913413369105,0.05749409339495656,0.13539620170268502,524.7914993954051,1.7816660164016997,0.7816660164016999
CMP007,PaidSocial_LeadGen_02,Paid Social,Lead Gen,Mid-Market,East,7224707.0,115557.0,6087.0,746.0,455840.39,560639.7599999999,0.015994697085985634,0.052675303097172825,0.12255626745523246,611.0460991957104,1.2299036511442083,0.22990365114420833
CMP008,PaidSocial_LeadGen_03,Paid Social,Lead Gen,B2B,South,5869609.0,96237.0,5456.0,734.0,399632.12,604395.72,0.016395811032728073,0.056693371572264305,0.1345307917888563,544.4579291553133,1.512380236103144,0.512380236103144
CMP009,PaidSocial_Retargeting_04,Paid Social,Retargeting,B2B,North,5231248.0,83481.0,4705.0,595.0,383401.55000000005,533979.7799999999,0.01595814230179873,0.05636012984990597,0.12646121147715197,644.3723529411766,1.39274288275569,0.3927428827556901
CMP010,PaidSocial_Acquisition_05,Paid Social,Acquisition,SMB,North,3902985.0,61463.0,3189.0,383.0,330640.11000000004,291134.46,0.015747690549669034,0.05188487382652978,0.12010034493571653,863.2901044386424,0.8805176722207114,-0.11948232777928854
CMP011,Email_Retargeting_01,Email,Retargeting,Consumer,North,5014328.0,249893.0,26949.0,4750.0,190520.26,1142325.93,0.049835790558575344,0.10784215644295758,0.17625885932687668,40.10952842105263,5.995823908701363,4.995823908701363
CMP012,Email_Retargeting_02,Email,Retargeting,B2B,East,3949015.0,184749.0,18339.0,2977.0,171154.72,763168.42,0.046783565015579835,0.09926440738515499,0.16233164294672556,57.492348001343636,4.458938789418136,3.458938789418136
